Product ID,Short Description,Cost
DAAUDEL55KBM000BX002,DELL KB212/KB216 USB KEYBOARD,12
DBBXDEL11E20000BX002,"Dell 20 Monitor – E2020H - 49.5 cm (19.5"") Black, 1YR WUE",80
BB-DEL1100169,"( 210-AUXD ) DELL E2222H 21.5"" (54.68cm) (1920x1080),VGA,DP,HDCP,1YR",90
BBJDEL1100005,210-AZZG - MNT-DELL-E2223HN-54.48CM-21.5-UK-3Y,90
BB-DEL1100122,Dell Monitor SE2225H 54.5CM 21.6"   NEW ,85
BB-DEL1100119,"DELL  - P2225H 54.6cm (21.5"") 18.74"" x 10.54"" DP HDMI, VGA port, Black 3 years NEW ",140
BB-DEL1100110,DELL-24-SE2425H-60.5CM-(23.8’’) NEW ,100
BB-DEL1100130,DELL E2425H Monitor 60.5CM-(23.8’’) NEW ,110
BB-DEL1100011,"Dell Professional P2422H 60.47cm(23.8"")  LED monitor DP,HDMI,VGA  (1920x1080) Black UK, 3 years ",160
DBBUDEL11P24000BX007,"DELL 24 MONITOR - P2425H, 60.5CM (23.8"") - NEW ",180
DBBUDEL11P24000BX008,"Dell 24 Video Conferencing Monitor - P2424HEB,  60.47cm (23.8"") - NEW ",400
BB-DEL1100156,MNT-DELL-P2422HE-60.5CM-23.8-UK-3Y,210
BB-DEL1100115,Dell U2422HE 60.47cm (23.8") UltraSharp 24 USB-C Hub Monitor,270
BB-DEL1100100,"210-AYUI-3Y -Dell U2422H 60.47cm (23.8""), 3Y Whole Unit Exchange",200
BB-DEL1100016,"DELL P2424HT TOUCH  HDMI, DisplayPort, ",350
DBBUDEL11C24000BX002,"DELL C2423H - 60.47CM (23.8"") VIDEO CONFERENCING MONITOR,3YRS WUE  NEW ",350
BB-DEL1100131,Dell 27 Monitor – E2725H – 68.6 cm (27") NEW ,120
BB-DEL1100135,"210-AXKX -MNT-DELL-27 S2721D-68.47C, QHD MonitorSecurity lock slot, HDMI, DisplayPort, Speakers",250
BB-DEL1100109,"Dell LED  SE2725H  68.6cm(27"") Monitor, HDMI, VGA NEW",120
DBBUDEL11P27000BX009,"DELL P2725H, 68.6CM 27 INCH MONITOR, 3YRS NEW",190
DBBUDEL11P27000BX007,"Dell 27 USB-C Hub Monitor - P2725HE, 68.6cm (27.0"") - NEW",250
DBBUDEL11U27000BX005,"210-BKVB - Dell Ultra Sharp 27 Monitor - U2724D, 68.47cm (27""), 3 yrs WUE NEW",390
DBBUDEL11U27000BX003,MNT-DELL-U2723QE-68.47CM-27-USB-C-UK-3Y NEW,575
