Prod ID,Vendor Name,MfgPartNo,Short Description,Detail Description,Cost,Category Name,Inventory,Condition,Criteria
MITSU-B1GM6AS#A2N,HP,B1GM6AS#A2N,HP S3 Pro 327pe FHD MNTR SAU,HP S3 Pro 327pe FHD MNTR SAU,120.06,Monitors,100,NEW,
MITSU-169L0AS#A2N,HP,169L0AS#A2N,MNTR HP E24mv G4 FHD Conf,MNTR HP E24mv G4 FHD Conf,214.53,Monitors,100,NEW,
MITSU-40Z29AA,HP,40Z29AA,HP E27m G4 USB-C Conf QHD MONITOR,HP E27m G4 USB-C Conf QHD MONITOR,311.18,Monitors,100,NEW,
MITSU-169L0AA,HP,169L0AA,MNTR HP E24mv G4 FHD Conf,MNTR HP E24mv G4 FHD Conf,200.38,Monitors,100,NEW,
MITSU-A08KGAA,HP,A08KGAA,HP Evday OGR 14 Laptop Briefcase,HP Evday OGR 14 Laptop Briefcase,14.7,Carrying Cases,100,NEW,
MITSU-A08KHUT,HP,A08KHUT,HP Evday OGR 16 Laptop Briefcase,HP Evday OGR 16 Laptop Briefcase,14.97,Carrying Cases,100,NEW,
MITSU-9T5B0UT,HP,9T5B0UT,HP 725 Multi Rchrgbl WLS KB/MSE ARAB,HP 725 Multi Rchrgbl WLS KB/MSE ARAB,66.7,Pointing Devices,100,NEW,
MITSU-AW5S6AA#ABV,HP,AW5S6AA#ABV,HP 225 Wired Mouse and Keyboard Combo G2 Cashmere White,HP 225 Wired Mouse and Keyboard Combo G2 Cashmere White,20.42,Pointing Devices,100,NEW,
MITSU-7N7C3AA#ABB,HP,7N7C3AA#ABB,HP 435 Programmable Bluetooth Wireless Keypad,HP 435 Programmable Bluetooth Wireless Keypad,31.31,Keyboards,100,NEW,
MITSU-3E5F9AA#AC3,HP,3E5F9AA#AC3,HP RENEW BUSINESS 14.1-INCH LAPTOP BAG,HP RENEW BUSINESS 14.1-INCH LAPTOP BAG,22.87,Carrying Cases,100,NEW,
MITSU-1Y4D0UT#ABV,HP,1Y4D0UT#ABV,HP 235 Wireless Mouse and Keyboard Combo,HP 235 Wireless Mouse and Keyboard Combo,22.87,Pointing Devices,100,NEW,
MITSU-AX2Y7AA#ABV,HP,AX2Y7AA#ABV,HP 225 Wired Mouse and Keyboard Combo G2 - Black,HP 225 Wired Mouse and Keyboard Combo G2 - Black,17.97,Pointing Devices,100,NEW,
MITSU-B7NS7E3,HP,B7NS7E3,Datalogic POWER SUPPLY for DOCKS & CHARGERS Skorpio X5,Datalogic POWER SUPPLY for DOCKS & CHARGERS Skorpio X5,55.81,Miscellaneous,100,NEW,
MITSU-F6V97AA#ABB,HP,F6V97AA#ABB,HP USB External DVDRW Drive EURO,HP USB External DVDRW Drive EURO,33.21,DVD Drives,100,NEW,
MITSU-C26B2EA#A2N,HP,C26B2EA#A2N,VICTUS Clamshell | Roku 25C1 | Core i7-13620H (6C+4C) | 24GB DDR5 1DM 5600 | 1TB PCIe Gen4 Value | NVIDIA GeForce RTX 5060 8GB VRAM | 15.6 FHD (1920x1080) AG IPS 144Hz 300 nits | OST FreeDOS 3.0 | Mica Silver - 720p TNR | WARR 1/1/0 EURO,VICTUS Clamshell | Roku 25C1 | Core i7-13620H (6C+4C) | 24GB DDR5 1DM 5600 | 1TB PCIe Gen4 Value | NVIDIA GeForce RTX 5060 8GB VRAM | 15.6 FHD (1920x1080) AG IPS 144Hz 300 nits | OST FreeDOS 3.0 | Mica Silver - 720p TNR | WARR 1/1/0 EURO,1326.67,Notebooks,100,NEW,
MITSU-C26B3EA#A2N,HP,C26B3EA#A2N,VICTUS Clamshell | Roku 25C1 | Core i7-13620H (6C+4C) | 24GB DDR5 1DM 5600 | 1TB PCIe Gen4 Value | NVIDIA GeForce RTX 5050 8GB VRAM | 15.6 FHD (1920x1080) AG IPS 144Hz 300 nits | OST FreeDOS 3.0 | Mica Silver - 720p TNR | WARR 1/1/0 EURO,VICTUS Clamshell | Roku 25C1 | Core i7-13620H (6C+4C) | 24GB DDR5 1DM 5600 | 1TB PCIe Gen4 Value | NVIDIA GeForce RTX 5050 8GB VRAM | 15.6 FHD (1920x1080) AG IPS 144Hz 300 nits | OST FreeDOS 3.0 | Mica Silver - 720p TNR | WARR 1/1/0 EURO,1249.36,Notebooks,100,NEW,
